segment_id,review_id,listing_id,segment_text,main_topic_id,main_topic_label,topic_id,topic_label,satisfaction_0_100,sentiment_label
44,1260976604626188244,871258840987601798,friendly and welcoming from the word get go.,5,Communication,18,Host Quality,86.345,positive
45,1260976604626188244,871258840987601798,It was my first time at an Airbnb and I was apprehensive as I've always stayed in hotels.,6,Experience,23,Overall Experience,50.0,neutral
46,1260976604626188244,871258840987601798,Stewart was extremely accommodating and I felt instantly at home.,6,Experience,22,Home Feeling,50.0,neutral
47,1260976604626188244,871258840987601798,My room and bathroom were spotlessly clean and I loved my 3 night stay!,3,Cleanliness,10,Bathroom Cleanliness,89.2,positive
48,1260976604626188244,871258840987601798,He provided me with a space heater just in case I got cold and set me up with an iron when I needed one.,1,Amenities,7,Temperature Control,50.0,neutral
49,1260976604626188244,871258840987601798,I hope to come back soon to Toronto and I would love to stay at Stewart's place again!,6,Experience,23,Overall Experience,90.61,positive
50,649306121052596279,21866259,Great location with an amazing view!,6,Experience,25,View Experience,92.39,positive
52,1506661487262828363,946297903224913087,Zi was accommodating,5,Communication,18,Host Quality,50.0,neutral
53,1506661487262828363,946297903224913087,and responsive…could literally not asking for anything else!,5,Communication,21,Responsive Host,50.0,neutral
54,1506661487262828363,946297903224913087,Thank you for opening your home!,6,Experience,22,Home Feeling,70.99499999999999,positive
55,247436452,18374276,spacious in great building,4,Comfort,14,Interior Design,81.245,positive
56,1532793550868495859,1468725648151363151,You get a jaw-dropping view of the lake from the living room.,7,Location,27,Location Convenience,50.0,neutral
57,1532793550868495859,1468725648151363151,The cleanliness was impeccable (clearly a professional team does the cleaning 😊) I give the unit A+,3,Cleanliness,11,General Cleanliness,91.355,positive
59,479012210,24971391,The communication and response rate worked well and the host were very helpful.,5,Communication,18,Host Quality,81.80499999999999,positive
60,479012210,24971391,The location is also great with good transportation links.,7,Location,31,Transportation Access,89.53,positive
61,1301565077503980414,664538977916224483,I stayed for a month and had a good time.,6,Experience,24,Recommendation,72.02,positive
63,1301565077503980414,664538977916224483,The room is nice and spacious.,4,Comfort,15,Interior Space & Natural Light,71.075,positive
64,1301565077503980414,664538977916224483,You can hear the upstairs housemate a lot through the ceiling.,7,Location,29,Neighborhood Quietness,50.0,neutral
65,1301565077503980414,664538977916224483,The bathroom is pretty small,3,Cleanliness,10,Bathroom Cleanliness,74.695,positive
66,1301565077503980414,664538977916224483,The kitchen is shared with about 6 others and the equipment is very basic,1,Amenities,4,Kitchen Facilities,67.0,positive
67,1301565077503980414,664538977916224483,so I didn’t cook much there.,1,Amenities,4,Kitchen Facilities,50.0,neutral
68,1301565077503980414,664538977916224483,All in all it’s a good place for a longer stay in Toronto :),6,Experience,23,Overall Experience,85.48,positive
70,743135127,40395497,Excellent location ❤ very grateful,7,Location,27,Location Convenience,95.20500000000001,positive
71,961617433062211358,26776753,Great location at Greek town TO,7,Location,27,Location Convenience,81.245,positive
72,961617433062211358,26776753,clean and comfortable stay.,3,Cleanliness,11,General Cleanliness,85.92,positive
73,961617433062211358,26776753,The host responded quickly to our questions.,5,Communication,18,Host Quality,50.0,neutral
74,961617433062211358,26776753,Highly recommended Anastasia’s place to everyone.,6,Experience,23,Overall Experience,63.580000000000005,positive
75,1145738508882713985,18408663,My stay with Nguyen was very worthwhile.,6,Experience,23,Overall Experience,70.025,positive
76,321584561,25675740,I stayed at Kimberley's during the Toronto International Film Festival,6,Experience,23,Overall Experience,74.695,positive
77,321584561,25675740,and it was a great spot for what I needed--close to transit and downtown,7,Location,31,Transportation Access,81.245,positive
78,321584561,25675740,in a quiet neighborhood.,7,Location,29,Neighborhood Quietness,50.0,neutral
79,321584561,25675740,Kimberley is a very friendly and helpful host,5,Communication,18,Host Quality,88.1,positive
81,1211634800846582667,850821049006097346,This place was really clean and location is really convenient!,3,Cleanliness,11,General Cleanliness,75.405,positive
83,1533530330413483048,1364280421231205552,Great for a short stay!,6,Experience,24,Recommendation,82.94,positive
84,1533530330413483048,1364280421231205552,Not far from subway station,7,Location,31,Transportation Access,50.0,neutral
86,1394315141193915291,1133990795076523195,great location,7,Location,27,Location Convenience,81.245,positive
87,1394315141193915291,1133990795076523195,The host was very responsive and helpful.,5,Communication,21,Responsive Host,85.28,positive
89,1441462265935229033,845601838316313891,Claire's place was beautiful!,6,Experience,23,Overall Experience,81.80000000000001,positive
90,1441462265935229033,845601838316313891,There are so many great restaurants and parks nearby,7,Location,28,Nearby Restaurants & Shops,82.865,positive
91,1441462265935229033,845601838316313891,and the view is gorgeous.,6,Experience,25,View Experience,80.62,positive
92,1441462265935229033,845601838316313891,Despite being in the middle of the downtown,7,Location,27,Location Convenience,50.0,neutral
93,1441462265935229033,845601838316313891,stay was surprisingly quiet and peaceful.,7,Location,29,Neighborhood Quietness,82.985,positive
94,1441462265935229033,845601838316313891,The neighborhood felt very safe as well.,7,Location,27,Location Convenience,83.82000000000001,positive
95,1441462265935229033,845601838316313891,Highly recommend,6,Experience,24,Recommendation,71.005,positive
96,73201696,1844121,Caroline was an excellent host.,5,Communication,18,Host Quality,78.595,positive
98,73201696,1844121,She made us breakfast at 8:30 AM and shared wonderful stories with us.,1,Amenities,2,Coffee & Breakfast,86.345,positive
101,844933074210840539,13937219,Within walking distance to many Toronto attractions,6,Experience,23,Overall Experience,71.075,positive
102,844933074210840539,13937219,and public transit.,7,Location,31,Transportation Access,50.0,neutral
104,844933074210840539,13937219,you couldn’t even access the elevators without a special key tag .,7,Location,26,Access & Entry,34.555,negative
105,844933074210840539,13937219,Location also had access to the PATH,7,Location,27,Location Convenience,50.0,neutral
106,844933074210840539,13937219,we could walk inside to most of the places we wanted to go.,7,Location,27,Location Convenience,50.0,neutral
107,844933074210840539,13937219,There was a grocery store,7,Location,28,Nearby Restaurants & Shops,50.0,neutral
108,844933074210840539,13937219,Starbucks and a few restaurants accessible immediately upon entering the PATH.,7,Location,28,Nearby Restaurants & Shops,50.0,neutral
109,844933074210840539,13937219,The rental had great views of the water from the balcony,6,Experience,25,View Experience,81.245,positive
110,844933074210840539,13937219,and was stocked with Keurig coffee pods.,1,Amenities,2,Coffee & Breakfast,50.0,neutral
111,844933074210840539,13937219,Rental had free Wi-Fi which was helpful since as US residents,1,Amenities,8,Wi-Fi & TV,86.345,positive
113,844933074210840539,13937219,Definitely would stay again!,6,Experience,23,Overall Experience,72.87,positive
114,19992242,44469,After a little mix up that was entirely my fault,5,Communication,19,Issue Handling,27.254999999999995,negative
116,19992242,44469,Have stayed in his suites before and will certainly do it again.,4,Comfort,14,Interior Design,67.0,positive
118,464800020,12919114,Greate apartment with a beautiful view towards the city skyline.,0,Accuracy,0,Apartment Expectation,79.97000000000001,positive
119,464800020,12919114,The waterfront can be reached by walking within minutes.,7,Location,27,Location Convenience,55.135,positive
120,464800020,12919114,Easy checkin and great communication with the host.,5,Communication,18,Host Quality,89.53,positive
122,1332683518752629818,17239489,Georgina + Anthony - we appreciate it a lot!,5,Communication,18,Host Quality,72.87,positive
123,1332683518752629818,17239489,"It was great to get to be in ""The Danny"" during our first year in Canada.",6,Experience,23,Overall Experience,81.245,positive
124,494152741364412553,8972905,Another great stay!,6,Experience,23,Overall Experience,82.94,positive
125,494152741364412553,8972905,Great location and value!,8,Value,32,Value,88.88499999999999,positive
126,551831151,18934853,Great place!,6,Experience,23,Overall Experience,82.94,positive
127,551831151,18934853,Really enjoyed the place,6,Experience,23,Overall Experience,77.815,positive
128,184993974,4615440,Check-in at midnight was a breeze (Felix emailed very detailed instructions that were easy to follow).,2,Check-in,9,Check-in,72.02,positive
129,184993974,4615440,Room was clean and simple,3,Cleanliness,11,General Cleanliness,70.095,positive
131,184993974,4615440,Felix was very friendly.,5,Communication,18,Host Quality,77.06500000000001,positive
132,184993974,4615440,I was in Toronto for a conference and only needed sleeping accommodations -- this was perfect (close to shopping and restaurants).,6,Experience,23,Overall Experience,78.595,positive
133,184993974,4615440,I was able to walk everywhere including downtown.,7,Location,27,Location Convenience,50.0,neutral
135,598485083501096411,51767825,you really are in the heart of the city,7,Location,27,Location Convenience,81.845,positive
136,598485083501096411,51767825,CN Tower,7,Location,30,Tourist & Event Attractions,50.0,neutral
137,598485083501096411,51767825,Uber is super easy to catch on the road that runs behind the building,7,Location,31,Transportation Access,90.48,positive
138,598485083501096411,51767825,the underground tunnels to navigate to various landmarks work fantastic as well.,7,Location,31,Transportation Access,84.53999999999999,positive
139,598485083501096411,51767825,the view is spectacular,6,Experience,25,View Experience,50.0,neutral
140,598485083501096411,51767825,it really is a million dollar view.,6,Experience,25,View Experience,50.0,neutral
142,875364076950695351,20474413,Great place and comfortable!,4,Comfort,16,Overall Comfort,91.34,positive
143,875364076950695351,20474413,Lucy was very responsive and answered any questions I had right away.,5,Communication,21,Responsive Host,71.005,positive
145,154266585,1066718,Emil's place is convenient and very clean.,3,Cleanliness,11,General Cleanliness,72.88,positive
146,154266585,1066718,It is easy to access to public transportation and very close to every things.,7,Location,31,Transportation Access,72.02,positive
147,154266585,1066718,The host is very helpful and easy to work with.,5,Communication,18,Host Quality,86.985,positive
148,154266585,1066718,Only one thing- this is not entire apartment as listed so be mindful if you look for an entire apartment.,0,Accuracy,0,Apartment Expectation,50.0,neutral
149,154266585,1066718,But overall is very good.,5,Communication,19,Issue Handling,82.37,positive
150,154266585,1066718,Value for money and we had fantastic time staying there.,8,Value,32,Value,85.92,positive
152,617030325,33873130,and was deeply impressed by the space,4,Comfort,14,Interior Design,76.27999999999999,positive
154,617030325,33873130,I would definitely stay again.,6,Experience,23,Overall Experience,70.095,positive
155,498313749,22052036,Michael is best Hosts everything was on point that is my HOST for life I won’t even look for something or somewhere to stay kuddos to MICHAEL 👏👏👏👏👏👏🙏🙏🙏🙏🙏🙏🙏🙏,5,Communication,18,Host Quality,81.845,positive
156,1289195237755296529,813790889824293757,Great apartment.,0,Accuracy,0,Apartment Expectation,81.245,positive
157,1289195237755296529,813790889824293757,Host has lots of rules and was inflexible on checking in early.,5,Communication,18,Host Quality,50.0,neutral
158,1289195237755296529,813790889824293757,Arranging a half hour later check out took a lot of wrangling.,2,Check-in,9,Check-in,50.0,neutral
160,1476932663011430361,54261035,The apartment was very beautiful,0,Accuracy,0,Apartment Expectation,81.80499999999999,positive
161,1476932663011430361,54261035,and had an excellent view.,6,Experience,25,View Experience,78.595,positive
162,1476932663011430361,54261035,It was also perfectly located,7,Location,27,Location Convenience,81.845,positive
163,1476932663011430361,54261035,Laura was a great host,5,Communication,18,Host Quality,81.245,positive
165,1476932663011430361,54261035,which made both check-in and check-out super easy.,2,Check-in,9,Check-in,88.915,positive
166,1476932663011430361,54261035,We definitely recommend it!,6,Experience,24,Recommendation,83.48,positive
167,1180478868643651849,892853472738851423,Great stay great apartment and host.,5,Communication,18,Host Quality,92.405,positive
169,1429072726484992412,836193465420232003,perfect spot of town,7,Location,27,Location Convenience,78.595,positive
170,1429072726484992412,836193465420232003,would definitely return in the future,6,Experience,23,Overall Experience,70.095,positive
171,1516783072121272317,1168225780454312184,Jason was super friendly and helpful with everything during our stay,6,Experience,23,Overall Experience,93.6,positive
172,1516783072121272317,1168225780454312184,simply a stellar host.,5,Communication,18,Host Quality,50.0,neutral
173,1516783072121272317,1168225780454312184,The neighbourhood is peaceful and safe.,7,Location,29,Neighborhood Quietness,86.345,positive
175,1516783072121272317,1168225780454312184,very modern and cozy.,4,Comfort,16,Overall Comfort,50.0,neutral
176,1516783072121272317,1168225780454312184,Cleanliness is pristine,3,Cleanliness,11,General Cleanliness,50.0,neutral
177,1516783072121272317,1168225780454312184,with a fully furnished kitchen and a very comfortable bed.,4,Comfort,13,Bed Comfort,77.815,positive
178,1516783072121272317,1168225780454312184,I would definitely book another stay and recommend it to anyone who is looking for a worry-free,6,Experience,24,Recommendation,81.845,positive
179,1516783072121272317,1168225780454312184,comfortable stay in Toronto.,6,Experience,23,Overall Experience,75.53,positive
180,486160858259460913,21013560,Great place,6,Experience,23,Overall Experience,81.245,positive
181,486160858259460913,21013560,good location in the city,7,Location,27,Location Convenience,72.02,positive
182,486160858259460913,21013560,the freeway noise is serious - I'm a pretty sound sleeper,7,Location,29,Neighborhood Quietness,73.83500000000001,positive
185,486160858259460913,21013560,Otherwise I had a great experience,6,Experience,23,Overall Experience,81.245,positive
188,1510273185679768686,50393155,open and was well stocked with everything we needed for the 5 weeks we were there.,1,Amenities,4,Kitchen Facilities,63.660000000000004,positive
190,1506632585863989865,1242265145477373360,There was an issue with the fob for parking which caused some frustration and alternative parking arrangements.,1,Amenities,6,Parking,26.165,negative
191,1506632585863989865,1242265145477373360,Victoria did get the alternate parking set up quickly and was apologetic and nice to deal with.,1,Amenities,6,Parking,71.075,positive
193,1506632585863989865,1242265145477373360,The beds were super comfy!,4,Comfort,13,Bed Comfort,81.80000000000001,positive
194,1506632585863989865,1242265145477373360,And great location for our purposes.,7,Location,27,Location Convenience,81.245,positive
195,1506632585863989865,1242265145477373360,The condo could use a deep clean,3,Cleanliness,11,General Cleanliness,70.095,positive
197,738582405,30851224,Great place for the price.,8,Value,32,Value,81.245,positive
198,738582405,30851224,Could be a bit cleaner.,3,Cleanliness,11,General Cleanliness,58.894999999999996,positive
199,1187734780634040379,608761694547842656,Awesome price,8,Value,32,Value,81.245,positive
201,1184096129386129670,1142097176878185345,Irene was an excellent host.,5,Communication,18,Host Quality,78.595,positive
202,1184096129386129670,1142097176878185345,She went above and beyond to make sure that we were comfortable and was extremely thoughtful.,5,Communication,18,Host Quality,90.865,positive
203,1184096129386129670,1142097176878185345,Her place was so homey and had everything you need.,6,Experience,22,Home Feeling,50.0,neutral
204,1184096129386129670,1142097176878185345,The area is amazing so many cute shops and restaurants.,7,Location,28,Nearby Restaurants & Shops,89.75500000000001,positive
205,1184096129386129670,1142097176878185345,Close access to downtown would definitely stay here again.,7,Location,27,Location Convenience,70.095,positive
206,1447220714876763777,29388347,Janahan's place was just like the photos—cute spot in a great location for visiting the city.,7,Location,27,Location Convenience,88.25,positive
207,1447220714876763777,29388347,Check-in was simple,2,Check-in,9,Check-in,50.0,neutral
208,1447220714876763777,29388347,and Janahan's instructions were easy to follow.,2,Check-in,9,Check-in,72.02,positive
209,1447220714876763777,29388347,It's a studio apartment so not big,0,Accuracy,0,Apartment Expectation,50.0,neutral
211,1447220714876763777,29388347,I appreciated the Brita-filtered water that was provided in the fridge—nice touch after a long day in the city's humidity.,1,Amenities,4,Kitchen Facilities,75.53,positive
213,1447220714876763777,29388347,I've stayed in condos before in Toronto where you could hear a lot of street noise,7,Location,29,Neighborhood Quietness,50.0,neutral
215,1447220714876763777,29388347,Bed was comfy,4,Comfort,13,Bed Comfort,50.0,neutral
216,1447220714876763777,29388347,pillows on the hard side.,4,Comfort,13,Bed Comfort,44.865,negative
217,1447220714876763777,29388347,I took advantage of the Farm Boy grocery store around the corner.,7,Location,28,Nearby Restaurants & Shops,62.5,positive
218,1447220714876763777,29388347,Huge salad bar with both hot and cold items,7,Location,28,Nearby Restaurants & Shops,65.91,positive
220,1447220714876763777,29388347,One thing to note: the entrance to the building is in a large alleyway and isn't very visible.,7,Location,26,Access & Entry,50.0,neutral
221,1447220714876763777,29388347,as the door is on the side and not directly on the street.,7,Location,26,Access & Entry,50.0,neutral
222,1447220714876763777,29388347,I would definitely stay here again!,6,Experience,23,Overall Experience,72.87,positive
223,744975030565398236,39626975,Such a great spot with such a great host!,5,Communication,18,Host Quality,92.94,positive
224,1453774595472834263,841978966379238674,I stayed here for one night with my mom and had a great experience.,6,Experience,23,Overall Experience,81.245,positive
225,1453774595472834263,841978966379238674,The place was super clean and comfortable,3,Cleanliness,11,General Cleanliness,93.6,positive
226,1453774595472834263,841978966379238674,and the host was very kind and helpful throughout our stay.,5,Communication,18,Host Quality,88.775,positive
227,1453774595472834263,841978966379238674,Check-in was smooth,2,Check-in,9,Check-in,50.0,neutral
228,1453774595472834263,841978966379238674,We felt safe and welcomed,4,Comfort,16,Overall Comfort,82.43,positive
229,1453774595472834263,841978966379238674,and would definitely stay here again if we’re in the area!,6,Experience,24,Recommendation,72.87,positive
231,449413391,33496921,Everything was perfect I really recommend it!,6,Experience,24,Recommendation,88.865,positive
232,18949823,3270314,Grace is an excellent host,5,Communication,18,Host Quality,87.895,positive
234,18949823,3270314,the kitchen and the bathroom were well stocked,1,Amenities,4,Kitchen Facilities,63.660000000000004,positive
235,18949823,3270314,and her place is exceptionally clean.,3,Cleanliness,11,General Cleanliness,72.88,positive
236,18949823,3270314,The location is excellent - it is close to subway,7,Location,31,Transportation Access,78.595,positive
239,1311734357179205527,957092591716139780,I had a good stay at Corinne’s Airbnb!,6,Experience,23,Overall Experience,74.63,positive
240,1311734357179205527,957092591716139780,Pictures are true to what the Airbnb looks like.,6,Experience,23,Overall Experience,82.43,positive
241,1311734357179205527,957092591716139780,It was easy to enter and I felt safe in the neighbourhood when walking around alone.,7,Location,27,Location Convenience,79.295,positive
242,1311734357179205527,957092591716139780,Close to ttc and walking distance to quite a few food places.,7,Location,28,Nearby Restaurants & Shops,50.0,neutral
243,1311734357179205527,957092591716139780,Also a short drive to various grocery stores and close to the highway.,7,Location,28,Nearby Restaurants & Shops,50.0,neutral
245,1276916213787947729,675291915659077575,Antonio was very nice and flexible with check in and check out time!,2,Check-in,9,Check-in,83.78,positive
246,1276916213787947729,675291915659077575,The place was really comfortable and beautiful with lots of plants and great furniture.,4,Comfort,15,Interior Space & Natural Light,95.81,positive
247,1276916213787947729,675291915659077575,Love the open kitchen/living room and tall ceilings.,4,Comfort,12,Basement & Ceiling,81.845,positive
248,1276916213787947729,675291915659077575,The beds were firm and comfortable,4,Comfort,13,Bed Comfort,75.53,positive
249,1276916213787947729,675291915659077575,which is often not the case!,5,Communication,19,Issue Handling,50.0,neutral
251,1276916213787947729,675291915659077575,great coffee next door and lots to explore walking around.,7,Location,28,Nearby Restaurants & Shops,81.245,positive
252,1276916213787947729,675291915659077575,Street noise is not loud/disruptive when inside at all.,7,Location,29,Neighborhood Quietness,50.0,neutral
253,1276916213787947729,675291915659077575,We would definitely stay here again!,6,Experience,23,Overall Experience,72.87,positive
254,1223984302918684945,1048770114163828578,As specified in the Airbnb description,6,Experience,23,Overall Experience,50.0,neutral
255,1223984302918684945,1048770114163828578,the ceilings are rather low,4,Comfort,12,Basement & Ceiling,36.34,negative
256,1223984302918684945,1048770114163828578,given that it is a basement.,4,Comfort,12,Basement & Ceiling,50.0,neutral
257,1223984302918684945,1048770114163828578,The hosts are very pleasant.,5,Communication,18,Host Quality,77.815,positive
258,1479883574418065494,1465420841652923189,This apartment was great perfect location clean and parking came in handy perfect for my first time in Toronto will stay again,6,Experience,23,Overall Experience,96.74499999999999,positive
259,665952103906815730,30592619,The apartment is very clean with plenty of room,3,Cleanliness,11,General Cleanliness,72.88,positive
261,665952103906815730,30592619,It's location is very walkable with public transit in walking distance and is in a great location in Toronto.,6,Experience,23,Overall Experience,81.245,positive
262,665952103906815730,30592619,There are plenty of great restaurants in walking distance along with some activities and a few grocery stores in walking distance!,7,Location,28,Nearby Restaurants & Shops,82.94,positive
263,665952103906815730,30592619,The check in process was easy and the host was very responsive.,5,Communication,21,Responsive Host,84.50500000000001,positive
264,665952103906815730,30592619,Would definitely stay here again!,6,Experience,23,Overall Experience,72.87,positive
266,1483491909574633189,1287729259860303749,It was more than perfect for attending a show at the music hall next door.,6,Experience,23,Overall Experience,80.47999999999999,positive
269,1483491909574633189,1287729259860303749,I highly recommend it:),6,Experience,24,Recommendation,71.005,positive
270,1453034918325240732,727732290850141315,I had a great stay!,6,Experience,23,Overall Experience,82.94,positive
273,1453034918325240732,727732290850141315,Zheng was very responsive and helpful.,5,Communication,21,Responsive Host,85.28,positive
274,1453034918325240732,727732290850141315,Quiet and peaceful neighborhood.,7,Location,29,Neighborhood Quietness,74.695,positive
275,1453034918325240732,727732290850141315,Would definitely stay here again.,6,Experience,23,Overall Experience,70.095,positive
276,1453034918325240732,727732290850141315,Highly recommended.,6,Experience,24,Recommendation,63.580000000000005,positive
277,42583240,5271542,Host is quite friendly and welcoming.. and so is her mother.,5,Communication,18,Host Quality,88.44000000000001,positive
278,42583240,5271542,Host helped me with a laptop charger when i asked for it...,5,Communication,18,Host Quality,50.0,neutral
279,42583240,5271542,The house is nice and the location is good.,6,Experience,22,Home Feeling,84.53999999999999,positive
280,42583240,5271542,It is easy to go downtown from there.,7,Location,27,Location Convenience,72.02,positive
281,42583240,5271542,Some eateries and shops are available within a walking distance.,7,Location,28,Nearby Restaurants & Shops,50.0,neutral
282,42583240,5271542,the neighborhood is okay.,7,Location,27,Location Convenience,61.315,positive
283,42583240,5271542,Room is comfortable and nice.,4,Comfort,15,Interior Space & Natural Light,86.345,positive
285,921772523781724545,8546395,Great place to stay for the price!,8,Value,32,Value,82.94,positive
286,921772523781724545,8546395,Affordable compared to prices in Toronto AirBNB,6,Experience,23,Overall Experience,50.0,neutral
287,921772523781724545,8546395,friendly hosts :),5,Communication,18,Host Quality,86.75500000000001,positive
288,538131927,36625914,Great place!,6,Experience,23,Overall Experience,82.94,positive
289,538131927,36625914,They were super quick to respond when I had questions.,5,Communication,20,Quick Response,79.97000000000001,positive
290,105159404,2455129,The Condo was really perfect regarding the place to stay and everything was clean and nice.,3,Cleanliness,11,General Cleanliness,92.94,positive
291,105159404,2455129,Katy was a perfect host,5,Communication,18,Host Quality,78.595,positive
293,105159404,2455129,at least the communication via SMS was helpful and so nothing bad at all.,5,Communication,17,Communication,85.605,positive
295,973939474002642619,929057152465631297,Dellas place was so beautiful it’s worth just staying in..Della checked in with us and responded very quickly.,6,Experience,23,Overall Experience,89.97500000000001,positive
296,973939474002642619,929057152465631297,This property is strongly recommended you won’t disappointed.,6,Experience,22,Home Feeling,47.42,negative
299,563961569,20401239,Thank you for being a great host from offering another parking option to handling my extension.,1,Amenities,6,Parking,88.25,positive
300,563961569,20401239,I truly appreciate all your help.,5,Communication,18,Host Quality,90.36999999999999,positive
302,445587206756522903,25025733,shopping centres.,7,Location,28,Nearby Restaurants & Shops,50.0,neutral
303,445587206756522903,25025733,Room was clean.,3,Cleanliness,11,General Cleanliness,70.095,positive
304,1236350497240179639,24333970,This is a great place that's exactly like the pictures/description.,7,Location,27,Location Convenience,88.25,positive
305,1236350497240179639,24333970,It's a 12-min walk from Eglinton West subway station,7,Location,31,Transportation Access,50.0,neutral
307,1236350497240179639,24333970,It's comfortable,4,Comfort,16,Overall Comfort,75.53,positive
308,1236350497240179639,24333970,with a reasonably stocked kitchen and a sizable office space that you get to through the bedroom.,1,Amenities,4,Kitchen Facilities,50.0,neutral
309,1236350497240179639,24333970,The place is exactly like the pictures,0,Accuracy,1,Photo Accuracy,68.06,positive
310,1236350497240179639,24333970,not oven because there is no oven.,1,Amenities,4,Kitchen Facilities,35.199999999999996,negative
311,1236350497240179639,24333970,My only warning is that it's a basement,4,Comfort,12,Basement & Ceiling,32.99999999999999,negative
312,1236350497240179639,24333970,so the ceiling clearance is 7 feet,4,Comfort,12,Basement & Ceiling,50.0,neutral
313,1236350497240179639,24333970,"and in some spots it's about 6'2"".",7,Location,27,Location Convenience,50.0,neutral
314,1236350497240179639,24333970,So taller guests might need to be careful.,5,Communication,18,Host Quality,57.655,positive
315,1236350497240179639,24333970,it's a good value space that's comfortable and close to transit.,7,Location,31,Transportation Access,91.125,positive
316,936982734600574502,780415174829909492,Nice house,6,Experience,22,Home Feeling,71.075,positive
317,936982734600574502,780415174829909492,comfortable beds,4,Comfort,13,Bed Comfort,75.53,positive
318,936982734600574502,780415174829909492,very light with many windows.,4,Comfort,15,Interior Space & Natural Light,50.0,neutral
319,936982734600574502,780415174829909492,Host had great communication!,5,Communication,18,Host Quality,82.94,positive
320,936982734600574502,780415174829909492,Any questions/issues were taken care of promptly.,5,Communication,20,Quick Response,74.695,positive
321,936982734600574502,780415174829909492,The art and decor items were greatly appreciated and were a nice touch.,4,Comfort,14,Interior Design,87.505,positive
322,936982734600574502,780415174829909492,I do believe that the place would benefit from a deep clean of all upholstery and kitchen utensils.,1,Amenities,4,Kitchen Facilities,84.53999999999999,positive
323,936982734600574502,780415174829909492,For a family stay,6,Experience,24,Recommendation,50.0,neutral
324,936982734600574502,780415174829909492,it lacked a grill in the backyard and maybe some board games or backyard games for kids to enjoy.,6,Experience,25,View Experience,74.695,positive
325,936982734600574502,780415174829909492,Otherwise centrally located to many Toronto attractions.,6,Experience,23,Overall Experience,71.075,positive
