topic_id,topic_label,top_phrases,n_segments_topic,representative_segments
7,Topic_7,"host friendly, friendly host, friendly helpful, host helpful, host kind, helpful host, host nice, great host, host super, host easy",719,friendly considerate host || cooperative nice host || helpful hospitable host
33,Topic_33,"location perfect, perfect location, place perfect, love place, perfect place, place amazing, place great, great location, place beautiful, place spotless",718,hygge place location perfect || place great location perfect || place beautiful location perfect
13,Topic_13,"room clean, living room, clean room, room spacious, room nice, room great, lot room, spacious clean, room house, clean spacious",709,clean spacious single room || clean spacious room || clean spacious room
19,Topic_19,"walking distance, walk distance, minute walk, min walk, short walk, able walk, easy walk, walkable distance, great location, location walk",700,quick walkable distance || need walk distance short ride away || place walk distance short ride
52,Topic_52,"check time, early check, check early, flexible check, arrive late, check check, late check, accommodate early, check late, allow check",695,wait half hour staff member come check || extend check time rush request || take time check available need
15,Topic_15,"answer question, minor thing, 10 10, quick reply, match description, quick answer, answer fast, helpful accommodate, quick response, mention description",667,thoughtfully little detail || easily accese || know case
41,Topic_41,"great communication, communication host, easy communicate, good communication, communication great, communication easy, easy communication, excellent communication, host communicative, exactly advertise",657,communication quick friendly || communication shen easy || communication smooth quick
32,Topic_32,"downtown toronto, explore toronto, visit toronto, place stay, great location, highly recommend, perfect location, location perfect, heart downtown, stay toronto",639,enjoy stay find easy downtown toronto || great place downtown toronto getaway || place easy downtown toronto
62,Topic_62,"super clean, clean tidy, clean need, clean spacious, place clean, clean organize, unit clean, sparkle clean, clean modern, clean equip",627,pristinely clean possibly want || cleanliness pristine || pristinely clean
0,Topic_0,"clean comfortable, comfortable stay, comfortable place, place clean, place comfortable, place clean comfortable, comfortable clean, stay comfortable, need comfortable, feel comfortable",621,comfortable equip || comfortable equip || comfortable essential
6,Topic_6,"low ceiling, bit low, basement suite, ceiling bit low, ceiling bit, basement unit, separate entrance, main floor, stay basement, lot light",621,basement fully equip || elevator problem s crowded building || people need scan 2 different door get elevator
25,Topic_25,"highly recommend, definitely recommend, 100 recommend, 10 10, 10 recommend, 10 10 recommend, totally recommend, recommend listing, great recommendation, strongly recommend",617,fully recommend || fully recommend || fully recommend
67,Topic_67,"easy access, convenient location, location convenient, great location, centrally locate, location great, good location, super convenient, location easy, conveniently locate",612,location perfect convenient need || able find location ease great location || convenient location easy
46,Topic_46,"quick respond, respond question, respond quickly, quick respond question, answer question, host quick, respond message, host quick respond, quick response, host respond",607,cloe fast respond question || respond quickly ve get question || extremely quick respond find solution request problem
18,Topic_18,"clear instruction, instruction clear, check instruction, easy follow, instruction check, provide clear, check process, check easy, check check, detailed instruction",603,ke ren friendly accommodating instruction clear helpful || easy check process clear instruction || clear easy check instruction
20,Topic_20,"thank hospitality, feel welcome, nice clean, nice helpful, nice welcome, feel safe, warm welcome, great view, extremely helpful, thank great",598,thanks narelle || thank andre || thank jeremy
28,Topic_28,"bed comfortable, comfortable bed, bed super, comfy bed, super comfortable, bed comfy, bed super comfortable, super comfy, bed super comfy, sofa bed",585,bed extremely comfortable || bed extremely comfortable || bed extremely comfortable
58,Topic_58,"house clean, beautiful home, beautiful house, house great, house beautiful, perfect family, stay house, home beautiful, great house, lovely home",580,s neat old house || lovely mj s house || beautiful house
5,Topic_5,"great stay, wonderful stay, love stay, enjoy stay, time stay, stay place, recommend stay, amazing stay, place stay, definitely stay",569,great stay alice s place || second stay amir olga || wonderful stay mr naresh s place
29,Topic_29,"great stay, wonderful stay, nice stay, thank great, thank great stay, good stay, lovely stay, overall great, overall great stay, fantastic stay",552,great stay || great stay || great stay
68,Topic_68,"parking spot, free parking, parking garage, street parking, parking space, parking easy, parking include, parking available, parking permit, parking pass",539,checkin parking easy || parking available street || parking available street
35,Topic_35,"place great, place perfect, place amazing, great location, place absolutely, place stay, place beautiful, place clean, perfect location, place nice",538,hyla s place great || location amazing john lise s place perfect || danni s place terrific
56,Topic_56,"good airbnb, stay airbnb, airbnb experience, recommend airbnb, ve stay, book airbnb, time airbnb, airbnb stay, highly recommend, air bnb",531,good airbnb stay long shot || stay airbnb s good need || recently stay amazing airbnb
39,Topic_39,"place clean, clean place, super clean, great location, nice clean, clean great, place super, place super clean, place stay, clean great location",518,place exceptionally clean || place neat clean || place neat clean
42,Topic_42,"place stay, great place, great place stay, good place, nice place, great stay, nice place stay, good place stay, pleasant stay, stay place",514,great place stay || great place stay || great place stay
34,Topic_34,"bathroom clean, private bathroom, room bathroom, kitchen bathroom, water pressure, bedroom bathroom, bathroom shower, clean room, shower head, suite bathroom",512,room bathroom clean pretty need || bathroom need cleaning || personal half bathroom
8,Topic_8,"great host, wonderful host, amazing host, thank host, host great, good host, nice host, great location, great place, fantastic host",511,excellent host || excellent host || excellent host
17,Topic_17,"fully equip, kitchen need, kitchen equipped, kitchen stock, need cook, kitchen fully, fully stock, stock kitchen, equip kitchen, pot pan",495,kitchen equip || fully equip kitchen want cook meal home || fully equip kitchen
59,Topic_59,"coffee maker, coffee machine, coffee tea, breakfast morning, coffee pod, tea coffee, late night, nice touch, like coffee, fresh fruit",490,snack coffee ready || le bleu cafe salmon sandwich good || offer coffee small breakfast snack
69,Topic_69,"high park, area nice, add bonus, outdoor space, building great, great spot, place small, backyard great, block away, great location",476,large window face tranquil yard || patio far big building perfect spot spend pretty day evening || like patio
22,Topic_22,"space clean, great space, clean space, space beautiful, lovely space, share space, beautiful space, space exactly, space great, lot space",475,space absolutely perfect need || space exceptionally clean || clean space
27,Topic_27,"great view, amazing view, view city, view amazing, view balcony, beautiful view, great location, nice view, incredible view, view lake",458,breathtaking view || amazing place view || amazing view harbour beautiful garden
57,Topic_57,"responsive helpful, super responsive, responsive question, helpful responsive, extremely responsive, friendly responsive, responsive accommodate, responsive friendly, responsive message, answer question",458,yashar responsive || vinh responsive helpful || lissete responsive
55,Topic_55,"definitely come, definitely return, ll definitely, wait come, stay sure, sure need, willing help, couldn ask, come sure, ready help",447,look forward come || consider come || def come
44,Topic_44,"great neighborhood, great neighbourhood, nice neighborhood, nice neighbourhood, feel safe, neighborhood feel, lovely neighborhood, safe neighbourhood, neighborhood peaceful, love neighbourhood",441,great place active neighborhood || fantastic neighbourhood || neighborhood beautiful peaceful
14,Topic_14,"stay night, light sleeper, night stay, quiet night, day night, especially night, spend night, late night, night sleep, early morning",436,get wake night || don t plan quiet evening || stay night work
50,Topic_50,"grocery store, coffee shop, kensington market, restaurant shop, shop restaurant, shop nearby, store nearby, subway station, minute walk, liquor store",431,sobey supermarket street || grocery liquor store right street || apartment shop mall walmart grocery shop iqbal s food
10,Topic_10,"definitely stay, recommend stay, absolutely stay, definitely recommend, definitely recommend stay, stay future, consider stay, definitely stay future, definitely stay recommend, absolutely recommend stay",428,definitely stay || definitely stay || definitely stay
60,Topic_60,"host responsive, responsive host, responsive helpful, friendly responsive, host friendly, super responsive, host friendly responsive, host responsive helpful, host super, responsive friendly",418,host helpful responsive need || host responsive helpful || host responsive helpful
49,Topic_49,"air conditioning, hot water, air conditioner, heat wave, hot day, space heater, hot tub, bit cold, heated floor, cold night",407,accustomed hot la weather || primary concern emmanuel probably couldn t control temperature control building || extra fan dehumidifi no matter body temperature good
61,Topic_61,"quiet neighborhood, nice quiet, clean quiet, quiet place, quiet neighbourhood, quiet street, neighborhood quiet, quiet peaceful, place quiet, quiet area",392,location quiet residential || peaceful quiet neighbourhood || great location quiet neighbourhood convenient
9,Topic_9,"great place, good place, place great, place nice, nice place, amazing place, lovely place, wonderful place, awesome place, beautiful place",387,great place || great place || great place
1,Topic_1,"feel home, right home, feel right, feel right home, feel like, like home, away home, home away home, home away, feel like home",383,feel home immedialtely || feel completely home || need feel right home
31,Topic_31,"easy check, check check, check easy, check process, super easy, check smooth, check super, check super easy, easy check check, flexible check",378,easy check check || easy check check || easy check check
21,Topic_21,"beautifully decorate, nicely decorate, tastefully decorate, beautifully design, stylish place, decorate nicely, thoughtful touch, right home, feel right, feel right home",378,decor tasteful elegant || aesthetically beautiful modern design || décor nicely
65,Topic_65,"exactly like, like picture, look exactly, like photo, exactly picture, look exactly like, place exactly, exactly like photo, place look, look like",376,photo accurately || look exactly photo || look well photo
23,Topic_23,"bit noisy, light sleeper, street noise, clean quiet, white noise, people upstairs, ear plug, hear noise, sound proof, noise street",376,talk loudly slam door no live || window t isolate noise || note consider easily disturb noise tend speak loudly
63,Topic_63,"great value, value money, good value, great price, worth price, reasonable price, good price, good value money, great value money, definitely worth",364,good value low price || pricing reasonable || especially price
40,Topic_40,"clean cozy, cozy place, nice cozy, place cozy, cozy comfortable, cozy clean, comfortable cozy, great location, feel cozy, apartment cozy",363,place tidy cozy || place clean cozy || place clean cozy
43,Topic_43,"washer dryer, washing machine, extra towel, sheet towel, machine dryer, washing machine dryer, paper towel, toilet paper, towel provide, linen towel",363,like washing machine drier || plenty fresh clean towel || clean fresh towel
11,Topic_11,"condo clean, condo great, great condo, condo perfect, condo beautiful, great location, clean condo, condo great location, beautiful condo, stay condo",352,clean need condo || condo fantastic clean || good clean condo
54,Topic_54,"great time, enjoy time, wonderful time, time stay, amazing time, time place, time toronto, great time stay, great weekend, great time place",339,baby good time || great zen time || wonderful time
16,Topic_16,"air bnb, wi fi, check breeze, bnb experience, air bnb experience, work perfectly, fast wifi, internet work, wifi work, tv remote",339,man aircondition og wifi fungerede fint || wifi unfortunately day || network little connection issue
66,Topic_66,"recommend place, highly recommend, definitely recommend, highly recommend place, definitely recommend place, definitely stay, recommend look, visit area, place highly, place friend",313,strongly recommend place || highly recommend choose place || recommend place sure
48,Topic_48,"cn tower, view cn, view cn tower, scotiabank arena, roger centre, cn tower roger, tower roger, walk cn, walk cn tower, great view",254,view past building bay cn tower || visit cn tower || cn tower ripley
37,Topic_37,"amenity need, great amenity, clean amenity, necessary amenity, lot amenity, basic amenity, amenity provide, amenity stay, location amenity, great location",253,cosy require amenity || basic amenity || basic amenity
64,Topic_64,"definitely book, book place, book future, recommend book, highly recommend, definitely book future, recommend book place, book time, definitely rebook, ll definitely",214,absolutely book || absolutely book || definitely book future
26,Topic_26,"great experience, good experience, overall great experience, overall great, wonderful experience, amazing experience, experience stay, nice experience, experience overall, overall good",206,experience great || experience great || experience great
